ydate,cp,upprob1,upprob2,pctg,ydatestr
735683,186.31,0.515365649205952,0.598855357675576,-0.0321940226431305,2014-03-25
735684,184.97,0.522993519472305,0.573594099274723,-1.10671514114628,2014-03-26
735685,184.58,0.546186261870789,0.570315315201911,-0.0920162381596685,2014-03-27
735686,185.49,0.50058459408661,0.569849163603762,0.205283345038083,2014-03-28
735689,187.01,0.506040447779111,0.570125819692403,0.182139604649919,2014-03-31
735690,188.25,0.513138409366282,0.577003058985562,0.335785097537574,2014-04-01
735691,188.88,0.495873576874879,0.577649300699829,0.206907528250828,2014-04-02
735692,188.63,0.480295263244829,0.595513365970186,-0.285457524977529,2014-04-03
735693,186.4,0.480584742220603,0.616209371901388,-1.71886533797321,2014-04-04
735696,184.34,0.533996440527733,0.604082412600233,-0.865824146275873,2014-04-07
735697,185.1,0.50813392264571,0.575414410523735,0.455877564311301,2014-04-08
735698,187.09,0.501969352395074,0.55261567994498,0.802801724137936,2014-04-09
735699,183.16,0.515621614159629,0.522054931907512,-2.09536027367972,2014-04-10
735700,181.51,0.567612062449476,0.561496093984467,-0.345887778631819,2014-04-11
735703,182.94,0.482367376322835,0.603107127936023,0.00546657191274854,2014-04-14
735704,184.2,0.542207262487172,0.56642902516121,0.480034911629934,2014-04-15
735705,186.13,0.5142723959039,0.550663199144579,0.355852698549629,2014-04-16
735706,186.39,0.525864015549675,0.567474262107632,0.274370561652674,2014-04-17
735710,187.04,0.488680733535238,0.555131434950298,0.321819352070368,2014-04-21
735711,187.89,0.474494126651547,0.574423431840007,0.35250761095978,2014-04-22
735712,187.45,0.48712199513984,0.554913553031988,-0.196997124906828,2014-04-23
735713,187.83,0.490093752176184,0.578886353955982,-0.286669851887239,2014-04-24
735714,186.29,0.517321720559858,0.557910579889209,-0.496741801089631,2014-04-25
735717,186.88,0.503044074296671,0.552590737776001,-0.0908847901630665,2014-04-28
735718,187.75,0.50569592957299,0.577652280527811,0.14401536163858,2014-04-29
735719,188.31,0.521437856312404,0.539660585741356,0.464148527528812,2014-04-30
735720,188.33,0.492406019169008,0.531581813081445,0.0584422484326924,2014-05-01
735721,188.06,0.503080184021969,0.543641967089315,-0.132759810950029,2014-05-02
735724,188.42,0.507698604076324,0.527198665069508,0.6839799080902,2014-05-05
735725,186.78,0.481849028366337,0.513706392855869,-0.648936170212765,2014-05-06
735726,187.88,0.518218179190388,0.548794534539866,0.250787044448001,2014-05-07
735727,187.68,0.51251990142501,0.537205478767347,-0.0159821000479469,2014-05-08
735728,187.96,0.522964573715557,0.507334825502177,0.133184167066219,2014-05-09
735731,189.79,0.499870393371441,0.551631577694833,0.524364406779651,2014-05-12
735732,189.96,0.511518738667259,0.54557539422603,-0.0420964007577268,2014-05-13
735733,189.06,0.512361316608251,0.53530074627588,-0.384635649928863,2014-05-14
735734,187.4,0.507308238455339,0.549809856484024,-0.678397286410855,2014-05-15
735735,188.05,0.512319662665,0.555262954010398,0.287984640819167,2014-05-16
735738,188.74,0.508223790262594,0.544101567995077,0.559433107784118,2014-05-19
735739,187.55,0.508770613017546,0.527392660828486,-0.583090379008743,2014-05-20
735740,189.13,0.521325732429442,0.566214266348149,0.55292679036631,2014-05-21
735741,189.59,0.501332598286516,0.555098827048252,0.216724812348027,2014-05-22
735742,190.35,0.506529809024891,0.5325514015484,0.310919055649243,2014-05-23
735746,191.52,0.487925823898625,0.567014070174543,0.240762064273007,2014-05-27
735747,191.38,0.505757349815152,0.560201599394529,-0.0730994152046861,2014-05-28
735748,192.37,0.494098808258821,0.561119608245485,0.286727140027115,2014-05-29
735749,192.68,0.494039609256955,0.555709924371342,0.254956033092257,2014-05-30
735752,192.9,0.491205442968946,0.542255892145092,-0.0259134490800637,2014-06-02
735753,192.8,0.502121761314549,0.536756804322026,0.192277711375567,2014-06-03
735754,193.19,0.492075485852025,0.544445271529251,0.374084272873694,2014-06-04
735755,194.45,0.484449213540475,0.560570624235809,0.537717801561446,2014-06-05
735756,195.38,0.491516125564374,0.574111544015478,0.261712936829677,2014-06-06
735759,195.58,0.501636039633073,0.570243506640528,0.117737394420281,2014-06-09
735760,195.6,0.491541855326979,0.576990619210864,0.13310125934268,2014-06-10
735761,194.92,0.489009287229968,0.571311352838439,0.010261672652633,2014-06-11
735762,193.54,0.488717377210376,0.563174413892318,-0.590682623658126,2014-06-12
735763,194.13,0.511307840384058,0.576673965117267,0.108292079207925,2014-06-13
735766,194.29,0.516041491122249,0.560957864743083,0.206302542678841,2014-06-16
735767,194.83,0.516395092854,0.532232150910155,0.417482733738791,2014-06-17
735768,196.26,0.500231793342207,0.529646487430628,0.733973207411578,2014-06-18
735769,196.48,0.494466849074146,0.530718089456994,0.0254543603319162,2014-06-19
735770,195.94,0.507779219505951,0.535633874847379,-0.0459113401010067,2014-06-20
735773,195.88,0.493980854583935,0.548582059968066,-0.0561253125159516,2014-06-23
735774,194.7,0.50540030992831,0.547215438366525,-0.424487290952801,2014-06-24
735775,195.58,0.516629091623377,0.547342641389106,0.663955942148346,2014-06-25
735776,195.44,0.491778796180412,0.534472372162222,-0.086907622309706,2014-06-26
735777,195.82,0.526404945091314,0.517879854716384,0.430813416760695,2014-06-27
735780,195.72,0.49577391307731,0.526283726629404,0.0102197240674554,2014-06-30
735781,197.03,0.508762616640628,0.534437290829914,0.423037716615705,2014-07-01
735782,197.23,0.500583352546104,0.537171357399571,0.0913473737629933,2014-07-02
735783,198.2,0.503260307201067,0.541504208177835,0.207290560695686,2014-07-03
735787,197.51,0.501673629252976,0.543266506908156,-0.156708118491559,2014-07-07
735788,196.24,0.502742007883852,0.524171699651818,-0.461577479076843,2014-07-08
735789,197.12,0.498570210855979,0.559465281737148,0.198241244345049,2014-07-09
735790,196.34,0.520985938488573,0.509974100497858,0.573711709865795,2014-07-10
735791,196.61,0.484418046692089,0.488726166030195,0.19875649780859,2014-07-11
735794,197.6,0.498351281564038,0.558969005668812,-0.00506047264815512,2014-07-14
735795,197.23,0.52453644617868,0.555270283057449,-0.247825207363954,2014-07-15
735796,197.96,0.505815643130847,0.573920949876935,-0.0757155115844761,2014-07-16
735797,195.71,0.516705033861043,0.566715895754598,-0.831010894350132,2014-07-17
735798,197.71,0.512414959379747,0.578456682444331,0.6926406926407,2014-07-18
735801,197.34,0.495588354009288,0.564683270951424,0.126845603531382,2014-07-21
735802,198.2,0.508901821544195,0.539615362737959,0.095954749760112,2014-07-22
735803,198.64,0.500920994379318,0.586991221766503,0.0705289672544012,2014-07-23
735804,198.65,0.511536920151881,0.563582877013822,-0.0905295981491761,2014-07-24
735805,197.72,0.499559196783978,0.56831396117334,-0.186783785148167,2014-07-25
735808,197.8,0.497549848262982,0.562700646558013,0.0202265372168388,2014-07-28
735809,196.95,0.499441494472752,0.573055280501956,-0.615633042337387,2014-07-29
735810,196.98,0.524872636687284,0.559887584742265,-0.338983050847466,2014-07-30
735811,193.09,0.533703737827109,0.554306104911848,-1.28827769541435,2014-07-31
735812,192.5,0.53440666893122,0.555248236248245,-0.0311591192355641,2014-08-01
735815,193.89,0.506337275868679,0.573794426288207,0.528853631980081,2014-08-04
735816,192.01,0.540073329222263,0.516320671945532,-0.564474365613673,2014-08-05
735817,192.07,0.544011025729218,0.525593152866202,0.502328501909884,2014-08-06
