ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,n1dg,yval,upprob
1969-12-10,719507,90.55,90.48,-0.000773053561568119,-0.00319242624394547,-0.00396301188903566,-0.454865832522404,0.000442086648983113,2,0.510781113508811
1969-12-11,719508,90.48,90.52,0.000442086648983113,-0.000773053561568119,-0.000331308669243524,0.00937655965793415,0.0032037118868759,2,0.509572461848421
1969-12-12,719509,90.52,90.81,0.0032037118868759,0.000442086648983113,0.00364721485411139,0.0603199956365579,-0.00297324083250739,1,0.568954206515101
1969-12-15,719512,90.81,90.54,-0.00297324083250739,0.0032037118868759,0.00022094564737086,0.926975067235429,-0.0090567704881821,1,0.370887490698136
1969-12-16,719513,90.54,89.72,-0.0090567704881821,-0.00297324083250739,-0.0120030833608634,-0.291560349143918,-0.00579580918412835,1,0.306991689552405
1969-12-17,719514,89.72,89.2,-0.00579580918412835,-0.0090567704881821,-0.0148000883587365,0.447501319075635,0.0158071748878923,2,0.439071517536571
1969-12-18,719515,89.2,90.61,0.0158071748878923,-0.00579580918412835,0.00991975033437361,0.492863414860571,0.00849795828275021,2,0.869639902244111
1969-12-19,719516,90.61,91.38,0.00849795828275021,0.0158071748878923,0.024439461883408,-0.167074332809324,-0.008754650908295,1,0.528016244393784
1969-12-22,719519,91.38,90.58,-0.008754650908295,0.00849795828275021,-0.000331089283743529,0.322275442503493,-0.0038639876352395,1,0.195032944446169
1969-12-23,719520,90.58,90.23,-0.0038639876352395,-0.008754650908295,-0.012584810680674,-0.00544665202957709,0.0105286490080905,2,0.496432206670245
1969-12-24,719521,90.23,91.18,0.0105286490080905,-0.0038639876352395,0.00662397880326792,-0.0669325366882209,0.00778679534985736,2,0.782540765406395
1969-12-26,719523,91.18,91.89,0.00778679534985736,0.0105286490080905,0.0183974287930843,0.108461044633584,-0.00696484927630864,1,0.542580112612345
1969-12-29,719526,91.89,91.25,-0.00696484927630864,0.00778679534985736,0.000767712217591502,-0.0323287601652829,0.0038356164383561,2,0.229486833593763
1969-12-30,719527,91.25,91.6,0.0038356164383561,-0.00696484927630864,-0.00315594732832742,0.0431205777326518,0.00502183406113546,2,0.68591229952143
1969-12-31,719528,91.6,92.06,0.00502183406113546,0.0038356164383561,0.00887671232876715,-0.34418498796486,0.0102107321312187,2,0.577115647398973
1970-01-02,719530,92.06,93,0.0102107321312187,0.00502183406113546,0.0152838427947599,-0.110291596999166,0.00494623655913972,2,0.684002525213636
1970-01-05,719533,93,93.46,0.00494623655913972,0.0102107321312187,0.0152074733869215,-0.283477253358199,-0.00684784934731437,1,0.4941024100047
1970-01-06,719534,93.46,92.82,-0.00684784934731437,0.00494623655913972,-0.00193548387096782,0.350483028782426,-0.00204697263520791,1,0.259103986621124
1970-01-07,719535,92.82,92.63,-0.00204697263520791,-0.00684784934731437,-0.00888080462229829,0.115356119541921,0.00053978192810117,2,0.531237316155301
1970-01-08,719536,92.63,92.68,0.00053978192810117,-0.00204697263520791,-0.00150829562594254,0.374438610211782,-0.00302114803625379,1,0.528206154720287
1970-01-09,719537,92.68,92.4,-0.00302114803625379,0.00053978192810117,-0.00248299686926471,0.313265780594156,-0.00757575757575761,1,0.402817117548895
1970-01-12,719540,92.4,91.7,-0.00757575757575761,-0.00302114803625379,-0.0105740181268883,-0.712530378172386,0.00239912758996727,2,0.365792602395576
1970-01-13,719541,91.7,91.92,0.00239912758996727,-0.00757575757575761,-0.00519480519480524,-0.00821259260227554,-0.00293733681462137,1,0.653013171260612
1970-01-14,719542,91.92,91.65,-0.00293733681462137,0.00239912758996727,-0.000545256270447079,-0.475111833979859,0.000327332242225872,2,0.41296951293516
1970-01-15,719543,91.65,91.68,0.000327332242225872,-0.00293733681462137,-0.0026109660574412,-0.470334532013387,-0.00828970331588138,1,0.566478638748023
1970-01-16,719544,91.68,90.92,-0.00828970331588138,0.000327332242225872,-0.00796508456082928,-0.469354070706022,-0.0139683238011438,1,0.320736081810802
1970-01-19,719547,90.72,89.65,-0.0139683238011438,-0.00828970331588138,-0.0221422338568936,-0.747579062136508,0.00200780814277739,2,0.304716202152415
1970-01-20,719548,89.65,89.83,0.00200780814277739,-0.0139683238011438,-0.0119885613726353,0.5957271928371,0.00133585661805638,2,0.667320616431168
1970-01-21,719549,89.83,89.95,0.00133585661805638,0.00200780814277739,0.00334634690462908,-0.282013068289509,0.00100055586436913,2,0.506001656528776
1970-01-22,719550,89.95,90.04,0.00100055586436913,0.00133585661805638,0.00233774908159866,-0.0372227643511039,-0.00744113727232343,1,0.493009454725049
1970-01-23,719551,90.04,89.37,-0.00744113727232343,0.00100055586436913,-0.0064480266814897,0.257716034295977,-0.0134273246055724,1,0.281479473529972
1970-01-26,719554,89.23,88.17,-0.0134273246055724,-0.00744113727232343,-0.0207685473123057,-0.376482786428522,-0.00623794941590107,1,0.288570887390159
1970-01-27,719555,88.17,87.62,-0.00623794941590107,-0.0134273246055724,-0.019581515049793,0.859960169079835,-0.00947272312257473,1,0.463660298098541
1970-01-28,719556,87.62,86.79,-0.00947272312257473,-0.00623794941590107,-0.0156515821708063,0.446862346240443,-0.0126742712294044,1,0.306443801206599
1970-01-29,719557,86.79,85.69,-0.0126742712294044,-0.00947272312257473,-0.0220269344898426,-0.0609710934429703,-0.00781888201657138,1,0.295181753346458
1970-01-30,719558,85.69,85.02,-0.00781888201657138,-0.0126742712294044,-0.020394054614587,-0.627811917474536,0.0085862150082334,2,0.490019072760815
1970-02-02,719561,85.02,85.75,0.0085862150082334,-0.00781888201657138,0.000700198389543731,-0.604443140952886,0.0118950437317784,2,0.802956916532286
1970-02-03,719562,85.75,86.77,0.0118950437317784,0.0085862150082334,0.0205833921430252,0.224330678584687,-0.00610810187852946,1,0.643476052230581
1970-02-04,719563,86.77,86.24,-0.00610810187852946,0.0118950437317784,0.00571428571428565,0.738432610260275,-0.0039424860853431,1,0.156031633915636
1970-02-05,719564,86.24,85.9,-0.0039424860853431,-0.00610810187852946,-0.0100265068572086,0.168927452627101,0.00500582072176941,2,0.451676010377801
1970-02-06,719565,85.9,86.33,0.00500582072176941,-0.0039424860853431,0.00104359925788501,-0.113534324257611,0.00787675199814673,2,0.669288679728872
1970-02-09,719568,86.33,87.01,0.00787675199814673,0.00500582072176941,0.0129220023282887,0.0713590601769222,-0.010458567980692,1,0.590368640984066
1970-02-10,719569,87.01,86.1,-0.010458567980692,0.00787675199814673,-0.00266419552878494,-0.199287463120438,0.00975609756097565,2,0.170291946041824
1970-02-11,719570,86.1,86.94,0.00975609756097565,-0.010458567980692,-0.000804505229284075,-0.219738554058166,-0.002415458937198,1,0.841482593833165
1970-02-12,719571,86.94,86.73,-0.002415458937198,0.00975609756097565,0.00731707317073182,-0.690031709519759,-0.00219070679119103,1,0.348595726766349
1970-02-13,719572,86.73,86.54,-0.00219070679119103,-0.002415458937198,-0.00460087416609146,-0.702366371274992,-0.000808874508897705,1,0.536722467373012
1970-02-16,719575,86.54,86.47,-0.000808874508897705,-0.00219070679119103,-0.00299780929320887,-0.833326544970848,-0.00115647045217988,1,0.569790631159221
1970-02-17,719576,86.47,86.37,-0.00115647045217988,-0.000808874508897705,-0.00196440952160852,-0.774890338586631,0.0123885608428852,2,0.528864422912629
1970-02-18,719577,86.37,87.44,0.0123885608428852,-0.00115647045217988,0.0112177633861455,-0.618238333977853,0.00365965233302845,2,0.775248411894501
1970-02-19,719578,87.44,87.76,0.00365965233302845,0.0123885608428852,0.0160935510015052,0.444496208493982,0.0030765724703737,2,0.34919218539281
1970-02-20,719579,87.76,88.03,0.0030765724703737,0.00365965233302845,0.00674748398902108,0.0362059687573876,-0.000454390548676659,1,0.492225223242491
1970-02-24,719583,88.03,87.99,-0.000454390548676659,0.0030765724703737,0.00262078395624419,-0.186496084652205,0.0154563018524832,2,0.447358645464559
1970-02-25,719584,87.99,89.35,0.0154563018524832,-0.000454390548676659,0.0149948881063273,-0.461837556623011,-0.00503637381085606,1,0.800435142739041
1970-02-26,719585,89.35,88.9,-0.00503637381085606,0.0154563018524832,0.0103420843277646,-0.469961880995125,0.0067491563554555,2,0.249215997130926
1970-02-27,719586,88.9,89.5,0.0067491563554555,-0.00503637381085606,0.00167879127028546,-0.79964503223851,0.00234636871508373,2,0.707873386817235
1970-03-02,719589,89.5,89.71,0.00234636871508373,0.0067491563554555,0.00911136107986488,-0.741267037390812,0.00579645524467741,2,0.51862994009686
1970-03-03,719590,89.71,90.23,0.00579645524467741,0.00234636871508373,0.00815642458100563,-0.802756794413526,-0.00210572980161806,1,0.630675766532039
1970-03-04,719591,90.23,90.04,-0.00210572980161806,0.00579645524467741,0.00367851967450688,-0.949843148409855,-0.00044424700133281,1,0.480553198520493
1970-03-05,719592,90.04,90,-0.00044424700133281,-0.00210572980161806,-0.00254904133880089,-0.750655094731215,-0.00622222222222225,1,0.557466960527206
1970-03-06,719593,90,89.44,-0.00622222222222225,-0.00044424700133281,-0.00666370501999121,0.00693122931248499,-0.0103980322003577,1,0.37030497373862
1970-03-09,719596,89.43,88.51,-0.0103980322003577,-0.00622222222222225,-0.0165555555555555,0.178644537602172,0.00271155801604333,2,0.33694288067742
1970-03-10,719597,88.51,88.75,0.00271155801604333,-0.0103980322003577,-0.00771466905187833,0.628331954958742,-0.000676056338028195,1,0.571720591014886
1970-03-11,719598,88.75,88.69,-0.000676056338028195,0.00271155801604333,0.00203366851203246,-0.3650486269233,-0.00405908219641447,1,0.464855720688938
1970-03-12,719599,88.69,88.33,-0.00405908219641447,-0.000676056338028195,-0.0047323943661972,-0.145817556377518,-0.005320955507755,1,0.419785918864745
1970-03-13,719600,88.33,87.86,-0.005320955507755,-0.00405908219641447,-0.00935843950840003,-0.080723978624409,-0.0108126564989757,1,0.417571507357497
1970-03-16,719603,87.86,86.91,-0.0108126564989757,-0.005320955507755,-0.016076078342579,-0.47034092469552,0.0043723392014729,2,0.364364406659252
1970-03-17,719604,86.91,87.29,0.0043723392014729,-0.0108126564989757,-0.00648759389938531,0.913992609436978,0.00286401649673502,2,0.558476597230058
1970-03-18,719605,87.29,87.54,0.00286401649673502,0.0043723392014729,0.00724887814981026,-0.6039346200104,-0.00137080191912274,1,0.517544283534337
1970-03-19,719606,87.54,87.42,-0.00137080191912274,0.00286401649673502,0.00148928857830216,0.0683654746854727,-0.00411805078929306,1,0.418750017905604
1970-03-20,719607,87.42,87.06,-0.00411805078929306,-0.00137080191912274,-0.00548320767649079,0.0536777215022609,-0.000804043188605644,1,0.41192052468952
1970-03-23,719610,87.06,86.99,-0.000804043188605644,-0.00411805078929306,-0.00491878288721124,-0.387290577594301,0.0113806184618923,2,0.510861580535917
1970-03-24,719611,86.99,87.98,0.0113806184618923,-0.000804043188605644,0.0105674247645302,0.568389275017004,0.0203455330756989,2,0.631818114592873
1970-03-25,719612,88.11,89.77,0.0203455330756989,0.0113806184618923,0.0319576962869296,0.00405638468408195,0.00167093683858756,2,0.690103089043054
1970-03-26,719613,89.77,89.92,0.00167093683858756,0.0203455330756989,0.0220504660150034,0.845979624772246,-0.0032250889679716,1,0.281408568076024
1970-03-30,719617,89.92,89.63,-0.0032250889679716,0.00167093683858756,-0.00155954104934834,0.126060026919673,0,1,0.38712481850942
1970-03-31,719618,89.63,89.63,0,-0.0032250889679716,-0.0032250889679716,0.0169332819074956,0.00490907062367508,2,0.494988413995592
1970-04-01,719619,89.63,90.07,0.00490907062367508,0,0.00490907062367508,0.354597171132538,-0.00310869323859206,1,0.533180431065148
1970-04-02,719620,90.07,89.79,-0.00310869323859206,0.00490907062367508,0.00178511659042743,0.118849612821899,-0.0044548390689387,1,0.361812589583262
1970-04-03,719621,89.79,89.39,-0.0044548390689387,-0.00310869323859206,-0.00754968357943813,-0.50144980043198,-0.00704776820673448,1,0.44606715207432
1970-04-06,719624,89.39,88.76,-0.00704776820673448,-0.0044548390689387,-0.011471210602517,-0.0495529441359954,-0.00270392068499334,1,0.381397483761603
1970-04-07,719625,88.76,88.52,-0.00270392068499334,-0.00704776820673448,-0.0097326322854906,0.366185571740011,-0.000338906461816552,1,0.453090740510556
1970-04-08,719626,88.52,88.49,-0.000338906461816552,-0.00270392068499334,-0.00304191077061751,0.232162945325178,0.000452028477794172,2,0.459267518591567
1970-04-09,719627,88.49,88.53,0.000452028477794172,-0.000338906461816552,0.000112968820605571,0.135313996691378,-0.00327572574268617,1,0.45248221507266
1970-04-10,719628,88.53,88.24,-0.00327572574268617,0.000452028477794172,-0.00282517798621313,0.564742517579069,-0.00679963735267446,1,0.3506653302028
1970-04-13,719631,88.24,87.64,-0.00679963735267446,-0.00327572574268617,-0.0100530893482435,0.23049812649447,-0.00855773619351894,1,0.341823795761742
1970-04-14,719632,87.64,86.89,-0.00855773619351894,-0.00679963735267446,-0.0152991840435176,0.390189544451249,-0.00184140867763835,1,0.333659302281276
1970-04-15,719633,86.89,86.73,-0.00184140867763835,-0.00855773619351894,-0.0103833865814696,0.851815494378803,-0.00980053038164428,1,0.43838104650309
1970-04-16,719634,86.73,85.88,-0.00980053038164428,-0.00184140867763835,-0.0116238922775924,0.0452679643610432,-0.00244527247321837,1,0.280979560122396
1970-04-17,719635,85.88,85.67,-0.00244527247321837,-0.00980053038164428,-0.0122218378876975,-0.736522641532589,0.00186763160966495,2,0.545671187542647
1970-04-20,719638,85.67,85.83,0.00186763160966495,-0.00244527247321837,-0.000582207731718644,-0.857610210063413,-0.00524292205522548,1,0.569666211411102
1970-04-21,719639,85.83,85.38,-0.00524292205522548,0.00186763160966495,-0.00338508229251787,-0.265815897800027,-0.0130007027406887,1,0.335356030732848
1970-04-22,719640,85.38,84.27,-0.0130007027406887,-0.00524292205522548,-0.0181754631247816,-0.27953461587885,-0.0145959416162334,1,0.271748293295391
1970-04-23,719641,84.27,83.04,-0.0145959416162334,-0.0130007027406887,-0.027406886858749,0.0463942132379182,-0.00325144508670533,1,0.291856718719944
1970-04-24,719642,83.04,82.77,-0.00325144508670533,-0.0145959416162334,-0.0177999288002848,0.685965031624532,-0.0158269904554791,1,0.480384335975453
