ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,corrn06,corrn07,corrn08,corrn09,n1dg,yval,upprob
1981-07-15,723742,129.65,130.23,0.00447358272271488,7.71366862081096e-05,0.0045510644862697,-0.513981270964539,-0.566614974888282,-0.717763254613109,0.143213427365219,0.385146565020522,0.000844659448667846,2,0.492631784530802
1981-07-16,723743,130.23,130.34,0.000844659448667846,0.00447358272271488,0.00532202082529886,-0.619080477657308,-0.560207940959503,-0.620243309950512,-0.718212872930773,0.142213713432767,0.00322234156820613,2,0.493740105352455
1981-07-17,723744,130.34,130.76,0.00322234156820613,0.000844659448667846,0.0040697227981264,-0.701087291378771,-0.643510871638868,-0.601038239660065,-0.635516156514898,-0.733663057105328,-0.0156011012542061,1,0.502688522311916
1981-07-20,723747,130.6,128.72,-0.0156011012542061,0.00322234156820613,-0.0124290317630812,-0.77249146718432,-0.72169868572001,-0.681168758243919,-0.602278286039053,-0.640167208170645,-0.00295214418893719,1,0.408615638103699
1981-07-21,723748,128.72,128.34,-0.00295214418893719,-0.0156011012542061,-0.0185071887427347,-0.492020932222497,-0.491143562292165,-0.518748889819174,-0.240368391402512,-0.328404625305514,-0.00942808165809575,1,0.452055119183629
1981-07-22,723749,128.34,127.13,-0.00942808165809575,-0.00295214418893719,-0.0123523927905532,-0.0990865388029434,-0.0430150241309157,-0.0196344366746078,-0.00346470650842753,0.0359527963404683,0.00212381027294903,2,0.463552885952611
1981-07-23,723750,127.13,127.4,0.00212381027294903,-0.00942808165809575,-0.00732429484182638,-0.309909407190849,-0.0710505962010868,-0.00602139733809704,0.0299106499133454,0.0517248400758006,0.00832025117739405,2,0.508352058448991
1981-07-24,723751,127.4,128.46,0.00832025117739405,0.00212381027294903,0.0104617320852671,-0.832294097571589,-0.415350082378175,-0.206611193387335,-0.114890132589235,-0.0784808366428595,0.0112097150864082,2,0.543089288819795
1981-07-27,723754,128.46,129.9,0.0112097150864082,0.00832025117739405,0.0196232339089482,0.338549181045123,-0.194280910198851,-0.0850172921802558,-0.0152129704751988,0.0226799976776149,-0.00585065434949976,1,0.578037178325002
1981-07-28,723755,129.9,129.14,-0.00585065434949976,0.0112097150864082,0.00529347656858149,0.602895764387122,0.627692964489832,0.217679630487277,0.23740338743043,0.241857576515853,0.000154870682979791,2,0.524774116493402
1981-07-29,723756,129.14,129.16,0.000154870682979791,-0.00585065434949976,-0.00569668976135496,-0.11083165466468,0.139384556347464,0.245292122411687,0.0789716374090003,0.0873145479722415,0.00658098482502318,2,0.519240010260544
1981-07-30,723757,129.16,130.01,0.00658098482502318,0.000154870682979791,0.00673687470961751,-0.0579432651613308,0.0170147206098834,0.150591160350478,0.244830516180299,0.0611314631747034,0.00699946157987844,2,0.556861534113225
1981-07-31,723758,130.01,130.92,0.00699946157987844,0.00658098482502318,0.0136265097553421,-0.0807415658581818,-0.1059289568799,0.00371191213159569,0.138905546814792,0.255431936119938,-0.00336083104185761,1,0.563327733767004
1981-08-03,723761,130.92,130.48,-0.00336083104185761,0.00699946157987844,0.00361510653026689,-0.317967839947161,-0.022283664750361,-0.0589643250304693,0.0617367849127604,0.203330233486782,0.00536480686695292,2,0.52050745605307
1981-08-04,723762,130.48,131.18,0.00536480686695292,-0.00336083104185761,0.00198594561564329,0.0238679179227197,-0.388783719760858,-0.103215278899529,-0.149284247590409,-0.0588696043579282,0.0113584387864002,2,0.516934337984198
1981-08-05,723763,131.18,132.67,0.0113584387864002,0.00536480686695292,0.0167841814837523,-0.470597621764457,-0.0913621447123598,-0.475368290708593,-0.168068331413547,-0.183345054028184,-0.000226124971734387,1,0.581151969699488
1981-08-06,723764,132.67,132.64,-0.000226124971734387,0.0113584387864002,0.0111297453880163,-0.153355829065815,-0.18698557324624,0.144549089936828,-0.278639786021756,-0.0964020773346728,-0.00670989143546431,1,0.547196196021215
1981-08-07,723765,132.64,131.75,-0.00670989143546431,-0.000226124971734387,-0.00693449913318752,-0.416871619998747,-0.361548300234721,-0.403311342823285,-0.0970929554134232,-0.332998612778833,0.00599620493358628,2,0.475942496398362
1981-08-10,723768,131.75,132.54,0.00599620493358628,-0.00670989143546431,-0.000753920386007195,0.0646863235521682,-0.0449428907896216,0.0253023799316328,-0.0573312257451828,0.0464990515110157,0.00988380866153616,2,0.521844870729751
1981-08-11,723769,132.54,133.85,0.00988380866153616,0.00599620493358628,0.0159392789373814,-0.0322913078023843,-0.0946186104080381,-0.217304441520562,-0.126799914913998,-0.15715017655438,-0.00336197235711609,1,0.569333760075607
1981-08-12,723770,133.85,133.4,-0.00336197235711609,0.00988380866153616,0.00648860721291696,-0.0311986345789286,0.0718567738013654,0.0343317183314678,-0.0941617352334477,-0.043298605659349,0.000824587706146816,2,0.549844554735545
1981-08-13,723771,133.4,133.51,0.000824587706146816,-0.00336197235711609,-0.00254015689204336,-0.15121172442769,-0.186324868825337,-0.108008731678982,-0.156908370316876,-0.216400991913388,-0.00763987716275921,1,0.510440993282013
1981-08-14,723772,133.51,132.49,-0.00763987716275921,0.000824587706146816,-0.00682158920539728,-0.268244098241341,-0.125028699383682,-0.161707194389496,-0.0496691344377465,-0.100468180261296,-0.0095856291040834,1,0.506225984931372
1981-08-17,723775,132.49,131.22,-0.0095856291040834,-0.00763987716275921,-0.0171522732379596,0.137657398066689,-0.162707457141067,-0.0966664467912257,-0.0810599383664196,0.0228878891007908,-0.00845907636031082,1,0.466819246524516
1981-08-18,723776,131.22,130.11,-0.00845907636031082,-0.0095856291040834,-0.0179636198958412,0.283002615729462,0.465661999746089,0.182505987742214,0.174494624310999,0.181334933750499,0.00292060564138034,2,0.495878425919673
