ydatestr,iprob_1d,iprob_2d,iprob_1w,final_prob_1d,final_prob_2d,final_prob_1w,n1dg,n2dg,n1wg
2014-02-19,0.509535731267955,0.510988603677608,0.539515853991945,0.544737683793966,0.517753971750683,0.572768593468114,0.00603144224196854,0.00411273457039913,0.0089733424470267
2014-02-20,0.48151211107821,0.500017203235712,0.534497558181839,0.517725969323689,0.509573856621796,0.566230806378734,-0.00191870767156941,0.00426781377158915,0.00788681255367489
2014-02-21,0.496386501977705,0.505413132877355,0.530148142244298,0.52696463200515,0.519937665379727,0.566522147523997,0.00618652144315856,0.00483883443128916,0.0126344452008169
2014-02-24,0.497299680901445,0.499672913371106,0.516863817631662,0.517042943351829,0.516484383578773,0.54668772205634,-0.00134768701186939,-0.00132600820507082,-0.00101753075594951
2014-02-25,0.504245032476845,0.498770258902293,0.516686358160907,0.518925707384167,0.518815621162493,0.54606058396964,2.16788067985773e-05,0.00496975919007151,0.0156033211932016
2014-02-26,0.512549847460025,0.499129078833741,0.505089055697365,0.521447582220022,0.512774586046399,0.516366347989695,0.00494808038327293,0.00773081663272694,0.0155271087602158
2014-02-27,0.496191591151725,0.492215164936662,0.503838679428481,0.50279703607602,0.509638860020758,0.520533607927592,0.00278273624945401,-0.00459578965874466,0.0122634539365471
2014-02-28,0.501898434149048,0.495314005111321,0.496225412734778,0.511290743810054,0.511602380646431,0.513121588379017,-0.00737852590819868,0.0078891459614681,0.00999757992954902
2014-03-03,0.529823107585225,0.506956822980143,0.510742410576578,0.534308875935122,0.517474973760817,0.512111283995204,0.0152676718696668,0.0152143075138545,0.0170339107019987
2014-03-04,0.481917377296731,0.479362725615883,0.484999545385999,0.478120771745006,0.493823721063033,0.468143849368816,-5.33643558122516e-05,0.00166505960392754,-0.00335128154500481
2014-03-05,0.495137947249384,0.485354533476471,0.486838238712129,0.499169369129366,0.502583383171013,0.484816463576689,0.0017184239597398,0.0022565080606865,-0.00299390012861491
2014-03-06,0.514033238387989,0.489757446967854,0.493369351690144,0.513406828653822,0.503075441688452,0.482088478654304,0.000538084100946704,7.48351818609062e-05,-0.0163502980772817
2014-03-07,0.50229230251791,0.489307633395918,0.5015299064388,0.503340443239644,0.501056807536824,0.488577588098683,-0.000463248919085797,-0.00554536721417892,-0.0196534685097228
2014-03-10,0.507041425093957,0.490866273990515,0.492428915969408,0.505267215331484,0.496140759116698,0.4691359317026,-0.00508211829509313,-0.00477691865704922,-0.00977002615639508
2014-03-11,0.519350453750365,0.504613489731089,0.520202133711348,0.523451842321148,0.516261934537996,0.519706281791848,0.000305199638043904,-0.0113959030276237,0.00247372338204028
2014-03-12,0.509723874527942,0.508499175236744,0.522555112513229,0.519766505865548,0.511477078698051,0.51481339337165,-0.0117011026656676,-0.0145229014676216,-0.0039770902472969
2014-03-13,0.534814524903855,0.519105812906595,0.533545979755393,0.541518789862554,0.526082079400028,0.531556750715125,-0.00282179880195403,0.00679186237351963,0.0139031814292059
2014-03-14,0.528447112453416,0.521774468664423,0.538013819205182,0.539259890370698,0.529185570280365,0.538369448776466,0.00961366117547366,0.0168332562971363,0.0137904439121626
2014-03-17,0.48975295982624,0.512553046597819,0.526234994809723,0.514109411901536,0.523805874220024,0.54185760393588,0.00721959512166259,0.00108793535400335,-0.000747782207087185
