prob_1d,prob_2d,prob_1w,ydate,ydatestr,cpma,n1dg1,n1dg2,n1dg3,n2dlagd,n1wlagd,n2wlagd,n1mlagd,n2mlagd,yvalue1d,yvalue2d,yvalue1w,n1dg,n2dg,n1wg,corr1d,corr2d,corr1w
0.480935228277558,0.484774937235379,0.496783516617081,727541,1991-12-09,0.978694899252072,-0.00221577420205759,0.00453112165134221,-0.00705133264924884,0.00231534744928462,-0.00823282642894595,0.0139841548359653,-0.0372368856422917,0.0299908244855158,1,1,2,-0.000951726325807682,-0.001480966865633,0.0163908422777983,0.0814267978135012,0.160430949948026,-0.00158149961421773
0.48668945507703,0.486530509527286,0.498603147683327,727542,1991-12-10,0.977923360723296,-0.000951726325807682,-0.00221577420205759,0.00453112165134221,-0.00316750052786527,-0.00803233935321294,0.0149730910641019,-0.0387159137159138,0.0172070277123709,1,2,2,-0.000529240539825321,0.00966403454622187,0.0128076210637736,0.077351363176131,0.145474487755853,-0.00583594925003101
0.496658309047336,0.492307694654075,0.50822571732967,727543,1991-12-11,0.977536840094694,-0.000529240539825321,-0.000951726325807682,-0.00221577420205759,-0.001480966865633,-0.00623569342489543,0.00558260133347448,-0.0479911276906791,0.01465435666607,2,2,2,0.0101932750860472,0.017846269451137,0.015303150648663,0.0688615187445561,0.135637353742389,-0.000780104985151866
0.53737658616183,0.511518438474833,0.530212346993422,727544,1991-12-12,0.987446706863292,0.0101932750860472,-0.000529240539825321,-0.000951726325807682,0.00966403454622187,0.0110230795728557,0.00223077944496076,-0.0399084069349035,0.0117362525458249,2,2,1,0.00765299436508981,0.00762698453337329,0.00254226182675919,0.0757462724633918,0.139820025424766,0.00670772278828212
0.50431619863001,0.483039107771896,0.510494887174219,727545,1991-12-13,0.994853527761943,0.00765299436508981,0.0101932750860472,-0.000529240539825321,0.017846269451137,0.0141651279345819,0.010340600181227,-0.0319274833186452,0.0133445601143089,1,1,2,-2.6009831716513e-05,-0.00449981724991339,0.0066845267511119,0.0764096177261837,0.138501299724123,0.000739248386767266
0.478576282471893,0.475011668058632,0.489611297894416,727548,1991-12-16,0.994737562481581,-2.6009831716513e-05,0.00765299436508981,0.0101932750860472,0.00762698453337329,0.0163908422777983,-0.00823282642894595,0.00480894882651188,-0.025171974522293,1,1,2,-0.00447380741819688,-0.00254038002623364,0.0321489881912293,0.0800070631864313,0.135667350569315,-0.015671858537854
0.479465412037019,0.482130189895675,0.496113958716285,727549,1991-12-17,0.990240923955789,-0.00447380741819688,-2.6009831716513e-05,0.00765299436508981,-0.00449981724991339,0.0128076210637736,-0.00803233935321294,-0.006489461115149,-0.0122557817547817,2,1,2,0.00193342739196324,-0.000569962615338412,0.0433453519360401,0.083231380071141,0.141589486247433,-0.0133926920671225
0.515190910086626,0.51590632874706,0.518630763038766,727550,1991-12-18,0.9921470120329,0.00193342739196324,-0.00447380741819688,-2.6009831716513e-05,-0.00254038002623364,0.015303150648663,-0.00623569342489543,0.0107005429339518,-0.021684758786066,1,2,2,-0.00250339000730165,0.00931298560704541,0.0557004276624595,0.0791175900803434,0.143365156325471,0.0197532115360896
0.479448007990774,0.495681962209314,0.500945681676507,727551,1991-12-19,0.989770064501172,-0.00250339000730165,0.00193342739196324,-0.00447380741819688,-0.000569962615338412,0.00254226182675919,0.0110230795728557,0.01054077616041,-0.0242563282981905,2,2,2,0.0118163756143471,0.0370850816912383,0.062584962877758,0.0666457051571252,0.135095115377249,0.0191564944184434
0.535438758343432,0.525109284958643,0.519339842804428,727552,1991-12-20,1.00148551269336,0.0118163756143471,-0.00250339000730165,0.00193342739196324,0.00931298560704541,0.0066845267511119,0.0141651279345819,0.0183655212334895,-0.0130106214454515,2,2,2,0.0252687060768912,0.0315939921007811,0.0726023150062008,0.0930705463979831,0.158373037682403,0.0570533753808313
0.562611094561301,0.531509873278478,0.529794377429338,727555,1991-12-23,1.02653410350554,0.0252687060768912,0.0118163756143471,-0.00250339000730165,0.0370850816912383,0.0321489881912293,0.0163908422777983,0.0549795288988143,-0.0209786569495055,2,2,2,0.0063252860238899,0.0201233978612174,0.0510810947028879,0.103958915607073,0.174540137386988,0.0938949946659655
0.459172327646553,0.451661143707427,0.475555472554574,727556,1991-12-24,1.03270263812039,0.0063252860238899,0.0252687060768912,0.0118163756143471,0.0315939921007811,0.0433453519360401,0.0128076210637736,0.0639153833857303,-0.0364037790100637,2,2,2,0.0137981118373275,0.0177996927087829,0.0449002078481457,0.0843190237439565,0.144471020342674,0.0675794780066876
0.511495057758379,0.485837865727142,0.505309885086426,727558,1991-12-26,1.0464167128909,0.0137981118373275,0.0063252860238899,0.0252687060768912,0.0201233978612174,0.0557004276624595,0.015303150648663,0.0711186368927929,-0.0345356084602024,2,2,2,0.0040015808714554,0.02535669576591,0.0358166189111748,0.0961707344895714,0.137226498922264,0.0726047630373578
0.484487573297796,0.476839143148526,0.504298954949141,727559,1991-12-27,1.05017406442632,0.0040015808714554,0.0137981118373275,0.0063252860238899,0.0177996927087829,0.062584962877758,0.00254226182675919,0.079431682379498,-0.0417599755700325,2,2,2,0.0213551148944546,0.0260523254740181,0.0282930669684594,0.0840839531228161,0.126362777885008,0.0804010961342233
0.559486040835975,0.5236299634969,0.534836628995336,727562,1991-12-30,1.07191990217059,0.0213551148944546,0.0040015808714554,0.0137981118373275,0.02535669576591,0.0726023150062008,0.0066845267511119,0.1063909173285,-0.0439036819977066,2,2,2,0.00469721057956349,0.00510479647229652,0.00544394662041719,0.0863376992907529,0.121871283926673,0.0784198544789449
0.46162428767596,0.456991071788916,0.484764100706226,727563,1991-12-31,1.07618326878057,0.00469721057956349,0.0213551148944546,0.0040015808714554,0.0260523254740181,0.0510810947028879,0.0321489881912293,0.0935762978500262,-0.0253500971072269,1,2,1,0.000407585892733021,0.00539248739299661,0.00242153971564902,0.0801069479762445,0.112797518293727,0.0771274030014205
0.447835521182343,0.462534117555078,0.479310887150612,727565,1992-01-02,1.07578529155081,0.000407585892733021,0.00469721057956349,0.0213551148944546,0.00510479647229652,0.0449002078481457,0.0433453519360401,0.0952855942881143,-0.0238802910730757,2,2,1,0.00498490150026359,0.00169401582277039,0.000838805540909799,0.0731851635873766,0.112906354601704,0.0768302054491351
0.477642384099013,0.495503432007194,0.50244157553207,727566,1992-01-03,1.08027565654684,0.00498490150026359,0.000407585892733021,0.00469721057956349,0.00539248739299661,0.0358166189111748,0.0557004276624595,0.103323072065672,-0.0222273674461681,1,1,1,-0.00329088567749319,-0.00463072681061599,-0.0101111270091094,0.0741015869018137,0.111374951874709,0.0908663730682632
0.442109006926366,0.479565249675164,0.487672386576706,727569,1992-01-06,1.07593507835127,-0.00329088567749319,0.00498490150026359,0.000407585892733021,0.00169401582277039,0.0282930669684594,0.062584962877758,0.107501523622777,-0.0322588917096188,1,1,1,-0.00133984113312279,0.000337207261702424,-0.00866111589625803,0.0770212603332598,0.112467383962692,0.0966004070880159
0.450755095282801,0.487836287313733,0.488294718094674,727570,1992-01-07,1.07373337919123,-0.00133984113312279,-0.00329088567749319,0.00498490150026359,-0.00463072681061599,0.00544394662041719,0.0726023150062008,0.101028752308098,-0.03713298791019,2,1,2,0.00167704839482522,0.000505079966219598,0.00728318160038337,0.074277276130182,0.110191060255523,0.0950336692544196
0.480982731967824,0.509774107327674,0.495033981123344,727571,1992-01-08,1.07473867989907,0.00167704839482522,-0.00133984113312279,-0.00329088567749319,0.000337207261702424,0.00242153971564902,0.0510810947028879,0.105324380056046,-0.0372368856422917,1,1,2,-0.00117196842860562,-0.00718236090005025,0.00638603204974877,0.0731027741721851,0.0990896427441637,0.0953232025959458
0.469033513570748,0.500360013690254,0.484536993629489,727572,1992-01-09,1.07259600801448,-0.00117196842860562,0.00167704839482522,-0.00133984113312279,0.000505079966219598,0.000838805540909799,0.0449002078481457,0.105080709182323,-0.0387159137159138,1,1,1,-0.00601039247144463,-0.00784127659575214,0.00143674720432932,0.058910117686473,0.0893006878749832,0.105172829423256
0.461945246668677,0.497973790128957,0.476140164823278,727573,1992-01-10,1.0650925226964,-0.00601039247144463,-0.00117196842860562,0.00167704839482522,-0.00718236090005025,-0.0101111270091094,0.0358166189111748,0.0990203865501722,-0.0479911276906791,1,2,2,-0.00183088412430751,0.01289132468971,0.00905805829920499,0.0805556218633208,0.127310860486404,0.140558013522499
0.491940393643312,0.515640949095344,0.493322596042149,727576,1992-01-13,1.06219100929167,-0.00183088412430751,-0.00601039247144463,-0.00117196842860562,-0.00784127659575214,-0.00866111589625803,0.0282930669684594,0.0859389332983881,-0.0399084069349035,2,2,2,0.0147222088140175,0.0155071008319035,0.00487522324660916,-0.00183053659587581,0.0625621327997603,0.113682499750865
0.559555464072851,0.549053451020317,0.518951910814974,727577,1992-01-14,1.07700465445119,0.0147222088140175,-0.00183088412430751,-0.00601039247144463,0.01289132468971,0.00728318160038337,0.00544394662041719,0.0935573646838504,-0.0319274833186452,2,1,1,0.000784892017885986,-0.00529919192345965,-0.0185519931500333,-0.00683454880803918,0.0289375113606193,0.0893090419937401
0.485043504298869,0.490995114523236,0.465812211145519,727578,1992-01-15,1.07703775071454,0.000784892017885986,0.0147222088140175,-0.00183088412430751,0.0155071008319035,0.00638603204974877,0.00242153971564902,0.0944441554387973,0.00480894882651188,1,1,1,-0.00608408394134563,-0.00452984085772727,-0.00627421156451265,0.00868640438557419,0.0422830315306348,0.116831611388927
0.472970014992815,0.485814621947187,0.456029797936592,727579,1992-01-16,1.06982664720458,-0.00608408394134563,0.000784892017885986,0.0147222088140175,-0.00529919192345965,0.00143674720432932,0.000838805540909799,0.0926738778282907,-0.006489461115149,2,1,1,0.00155424308361836,-0.00441433830395744,-0.00777121541809139,0.00822850261493617,0.0418662826672656,0.12663632980763
