ydatestr,cp,upprob1d,upprob2d,upprob1w,nxt_prob1d,nxt_prob2d,nxt_prob1w
2014-03-10,1877.17,0.507485010688793,0.498712606856364,0.487498689685382,0.518643111657079,0.535496401746076,0.512073244070513
2014-03-11,1867.63,0.518108791050377,0.512134097353183,0.522422949308394,0.522377266842575,0.545069829443787,0.5268367590967
2014-03-12,1868.2,0.508906095057207,0.509849671733326,0.524350103695754,0.509922947149952,0.5279324233127,0.515161845730263
2014-03-13,1846.34,0.533817187107404,0.526917415018963,0.538444789563074,0.53731455176153,0.549354048139537,0.52859225561258
2014-03-14,1841.13,0.531184346456973,0.52802082976545,0.546438379228868,0.528142881223484,0.549193301051597,0.531731443449498
2014-03-17,1858.83,0.495305757125262,0.518442569995376,0.53921515916868,0.492575864014729,0.512766094116261,0.510638308135441
2014-03-18,1872.25,0.501344981367772,0.516167431321397,0.502705305198902,0.509568263042109,0.50457147809242,0.495592938888062
2014-03-19,1860.77,0.530236176207783,0.52115134687932,0.508538633019449,0.539116937525671,0.525648666363744,0.507480613068565
2014-03-20,1872.01,0.512023760738839,0.506360816516401,0.486976642102102,0.516990419379557,0.511498406382629,0.491387274175206
2014-03-21,1866.52,0.515530818978279,0.510270897535063,0.480645290973501,0.523615684694953,0.506035800657428,0.481994733576866
2014-03-24,1857.44,0.526299477882933,0.514950504510282,0.501933193739231,0.530664437558411,0.51116572772438,0.487449939410971
2014-03-25,1865.62,0.50465400246694,0.511485056334985,0.513341851587653,0.504225470099289,0.503709917537749,0.486898728356793
2014-03-26,1852.56,0.521481310091339,0.518410281204922,0.509290586652622,0.527957769189879,0.513521757450138,0.49373971638252
2014-03-27,1849.04,0.514709841033723,0.514606966493675,0.532917007788174,0.514281697991907,0.508278106023505,0.501470743241195
2014-03-28,1857.62,0.496071801836465,0.511000172056088,0.527416809382469,0.49633214242937,0.494893529908,0.495968016469624
2014-03-31,1872.34,0.490687620541532,0.503009124417003,0.494538316346969,0.49571810541458,0.484343959812253,0.477641107986417
2014-04-01,1885.52,0.489324405295989,0.50044999821118,0.484721880725162,0.498427577150018,0.465286644737706,0.462391120855011
2014-04-02,1890.9,0.491839356944607,0.492819244018582,0.475705587559838,0.503005554230184,0.466310895540159,0.466721151469955
2014-04-03,1888.77,0.501771675122113,0.494109670964952,0.47107916694598,0.510261798570282,0.471264528670611,0.465241473771177
2014-04-04,1865.09,0.52605192534944,0.509633519784415,0.502180415696197,0.528933335816805,0.494664826727941,0.486263518198951
2014-04-07,1845.04,0.532269023023317,0.521264620585967,0.540038329073544,0.524928813771933,0.515636767223463,0.511503466600641
