ydatestr,ydate,openp,cp
1993-10-08,728210,46.12,46.06
1993-10-11,728213,46.16,46.16
1993-10-12,728214,46.22,46.22
1993-10-13,728215,46.25,46.22
1993-10-14,728216,46.41,46.81
1993-10-15,728217,47.03,47.06
1993-10-18,728220,47.03,46.94
1993-10-19,728221,46.88,46.59
1993-10-20,728222,46.75,46.66
1993-10-21,728223,46.69,46.59
1993-10-22,728224,46.66,46.38
1993-10-25,728227,46.41,46.5
1993-10-26,728228,46.47,46.47
1993-10-27,728229,46.41,46.5
1993-10-28,728230,46.56,46.84
1993-10-29,728231,46.81,46.84
1993-11-01,728234,46.78,46.97
1993-11-02,728235,46.91,46.94
1993-11-03,728236,46.91,46.34
1993-11-04,728237,46.34,45.84
1993-11-05,728238,45.72,46.06
1993-11-08,728241,46.09,46.12
1993-11-09,728242,46.44,46.16
1993-11-10,728243,46.16,46.5
1993-11-11,728244,46.5,46.38
1993-11-12,728245,46.47,46.59
1993-11-15,728248,46.69,46.56
1993-11-16,728249,46.66,46.78
1993-11-17,728250,46.81,46.53
1993-11-18,728251,46.47,46.41
1993-11-19,728252,46.25,46.31
1993-11-22,728255,46.19,46.03
1993-11-23,728256,46.28,46.28
1993-11-24,728257,46.41,46.47
1993-11-26,728259,46.59,46.5
1993-11-29,728262,46.62,46.31
1993-11-30,728263,46.28,46.34
1993-12-01,728264,46.59,46.41
1993-12-02,728265,46.5,46.53
1993-12-03,728266,46.5,46.72
1993-12-06,728269,46.78,46.88
1993-12-07,728270,46.88,46.84
1993-12-08,728271,46.84,46.84
1993-12-09,728272,46.84,46.69
1993-12-10,728273,46.72,46.59
1993-12-13,728276,46.59,46.88
1993-12-14,728277,46.91,46.53
1993-12-15,728278,46.59,46.47
1993-12-16,728279,46.66,46.62
1993-12-17,728280,46.41,46.56
1993-12-20,728283,46.53,46.62
1993-12-21,728284,46.56,46.47
1993-12-22,728285,46.59,46.78
1993-12-23,728286,46.75,46.75
1993-12-27,728290,46.75,47
1993-12-28,728291,46.97,47.09
1993-12-29,728292,47.12,47.03
1993-12-30,728293,47,46.84
1993-12-31,728294,46.94,46.59
1994-01-03,728297,46.59,46.47
1994-01-04,728298,46.53,46.66
1994-01-05,728299,46.72,46.75
1994-01-06,728300,46.81,46.75
1994-01-07,728301,46.84,47.03
1994-01-10,728304,47.09,47.59
1994-01-11,728305,47.56,47.5
1994-01-12,728306,47.53,47.34
1994-01-13,728307,47.22,47.22
1994-01-14,728308,47.38,47.41
1994-01-17,728311,47.41,47.41
1994-01-18,728312,47.47,47.47
1994-01-19,728313,47.41,47.34
1994-01-20,728314,47.41,47.47
1994-01-21,728315,47.53,47.38
1994-01-24,728318,47.34,47.19
1994-01-25,728319,47.22,47.19
1994-01-26,728320,47.19,47.31
1994-01-27,728321,47.41,47.75
1994-01-28,728322,47.94,47.88
1994-01-31,728325,48.06,48.22
1994-02-01,728326,48.16,47.97
1994-02-02,728327,48.12,48.28
1994-02-03,728328,48.19,48.06
1994-02-04,728329,48.06,46.97
1994-02-07,728332,46.84,47.19
1994-02-08,728333,47.28,47.22
1994-02-09,728334,47.25,47.41
1994-02-10,728335,47.38,47
1994-02-11,728336,47.03,47.16
1994-02-14,728339,47.06,47.22
1994-02-15,728340,47.31,47.47
1994-02-16,728341,47.53,47.44
1994-02-17,728342,47.66,47.16
1994-02-18,728343,47.19,46.88
1994-02-22,728347,47,47.34
1994-02-23,728348,47.41,47.22
1994-02-24,728349,47.06,46.59
1994-02-25,728350,46.66,46.81
1994-02-28,728353,46.94,46.81
1994-03-01,728354,46.81,46.62
1994-03-02,728355,46.03,46.69
1994-03-03,728356,46.62,46.56
1994-03-04,728357,46.56,46.69
1994-03-07,728360,46.84,46.94
1994-03-08,728361,46.97,46.75
1994-03-09,728362,46.81,46.97
1994-03-10,728363,46.94,46.59
1994-03-11,728364,46.66,46.84
1994-03-14,728367,47.03,46.91
1994-03-15,728368,47,46.88
1994-03-16,728369,46.94,47.25
1994-03-17,728370,47.09,47.25
1994-03-18,728371,46.75,46.97
1994-03-21,728374,46.81,46.84
1994-03-22,728375,46.84,46.97
1994-03-23,728376,46.94,46.94
1994-03-24,728377,46.75,46.38
1994-03-25,728378,46.41,45.94
1994-03-28,728381,46,46
1994-03-29,728382,46,45.09
1994-03-30,728383,45.12,44.47
1994-03-31,728384,44.47,44.59
1994-04-04,728388,43.34,43.91
1994-04-05,728389,44.34,44.81
1994-04-06,728390,44.88,44.81
1994-04-07,728391,44.78,45.03
1994-04-08,728392,44.94,44.69
1994-04-11,728395,44.81,44.88
1994-04-12,728396,44.92,44.81
1994-04-13,728397,44.8,44.58
1994-04-14,728398,44.5,44.59
1994-04-15,728399,44.58,44.59
1994-04-18,728402,44.64,44.3
1994-04-19,728403,44.25,44.36
1994-04-20,728404,44.41,44.31
1994-04-21,728405,44.5,44.91
1994-04-22,728406,45.02,44.86
1994-04-25,728409,44.84,45.33
1994-04-26,728410,45.27,45.28
1994-04-28,728412,45.19,44.95
1994-04-29,728413,44.88,45.09
1994-05-02,728416,45.09,45.38
1994-05-03,728417,45.39,45.33
1994-05-04,728418,45.42,45.25
1994-05-05,728419,45.3,45.19
1994-05-06,728420,44.97,44.75
1994-05-09,728423,44.62,44.36
1994-05-10,728424,44.58,44.7
1994-05-11,728425,44.66,44.3
1994-05-12,728426,44.58,44.52
1994-05-13,728427,44.64,44.52
1994-05-16,728430,44.61,44.53
1994-05-17,728431,44.56,45.19
1994-05-18,728432,45.22,45.52
1994-05-19,728433,45.42,45.73
1994-05-20,728434,45.66,45.56
1994-05-23,728437,45.52,45.48
1994-05-24,728438,45.61,45.67
1994-05-25,728439,45.5,45.8
1994-05-26,728440,45.78,45.83
1994-05-27,728441,45.75,45.88
1994-05-31,728445,45.73,45.81
1994-06-01,728446,45.7,46.02
1994-06-02,728447,46.05,45.97
1994-06-03,728448,46,46.23
1994-06-06,728451,46.33,46.22
1994-06-07,728452,46.14,46.16
1994-06-08,728453,46.27,45.78
1994-06-09,728454,45.98,46.03
1994-06-10,728455,46.08,46.11
1994-06-13,728458,46.05,46.17
1994-06-14,728459,46.31,46.53
1994-06-15,728460,46.55,46.34
1994-06-16,728461,46.34,46.44
1994-06-17,728462,46.16,45.88
1994-06-20,728465,45.55,45.48
1994-06-21,728466,45.45,45.09
1994-06-22,728467,45.22,45.27
1994-06-23,728468,45.34,45
1994-06-24,728469,44.78,44.06
1994-06-27,728472,44.23,44.83
1994-06-28,728473,44.84,44.61
1994-06-29,728474,44.67,44.75
1994-06-30,728475,44.83,44.47
1994-07-01,728476,44.69,44.56
1994-07-05,728480,44.66,44.8
1994-07-06,728481,44.62,44.73
1994-07-07,728482,44.73,44.92
1994-07-08,728483,44.64,44.91
1994-07-11,728486,44.94,44.75
1994-07-12,728487,44.77,44.81
1994-07-13,728488,44.83,44.89
1994-07-14,728489,45.11,45.38
1994-07-15,728490,45.34,45.39
1994-07-18,728493,45.39,45.47
1994-07-19,728494,45.55,45.38
1994-07-20,728495,45.41,45.17
1994-07-21,728496,45.17,45.27
1994-07-22,728497,45.38,45.34
1994-07-25,728500,45.36,45.41
1994-07-26,728501,45.39,45.36
1994-07-27,728502,45.36,45.36
1994-07-28,728503,45.36,45.45
1994-07-29,728504,45.77,45.91
1994-08-01,728507,45.94,46.12
1994-08-02,728508,46.28,46.19
1994-08-03,728509,46.17,46.2
1994-08-04,728510,46.17,45.94
1994-08-05,728511,45.7,45.78
1994-08-08,728514,45.83,45.89
1994-08-09,728515,45.72,45.97
1994-08-10,728516,46,46.14
1994-08-11,728517,46.03,45.97
1994-08-12,728518,46.05,46.33
1994-08-15,728521,46.38,46.31
1994-08-16,728522,46.34,46.64
1994-08-17,728523,46.7,46.61
1994-08-18,728524,46.45,46.45
1994-08-19,728525,46.47,46.42
1994-08-22,728528,46.44,46.38
1994-08-23,728529,46.58,46.64
1994-08-24,728530,46.69,47.14
1994-08-25,728531,47.09,47.02
1994-08-26,728532,47.12,47.69
1994-08-29,728535,47.81,47.66
1994-08-30,728536,47.64,47.78
1994-08-31,728537,47.7,47.66
1994-09-01,728538,47.5,47.5
1994-09-02,728539,47.72,47.3
1994-09-06,728543,47.27,47.31
1994-09-07,728544,47.42,47.27
1994-09-08,728545,47.36,47.5
1994-09-09,728546,47.03,47
1994-09-12,728549,47,46.86
1994-09-13,728550,46.95,47
1994-09-14,728551,46.84,47.05
1994-09-15,728552,47.17,47.64
1994-09-16,728553,47,47.02
1994-09-19,728556,47.12,47.06
1994-09-20,728557,46.81,46.17
1994-09-21,728558,46.31,46.17
1994-09-22,728559,46.28,46.06
1994-09-23,728560,46.08,45.91
1994-09-26,728563,46.08,46.14
1994-09-27,728564,46.14,46.11
1994-09-28,728565,46.36,46.47
1994-09-29,728566,46.47,46.23
1994-09-30,728567,46.22,46.17
1994-10-03,728570,46.2,46.06
1994-10-04,728571,46.3,45.38
1994-10-05,728572,45.3,45.39
1994-10-06,728573,45.42,45.25
1994-10-07,728574,45.25,45.45
1994-10-10,728577,45.66,45.94
1994-10-11,728578,46.14,46.62
1994-10-12,728579,46.69,46.69
1994-10-13,728580,47.22,46.84
1994-10-14,728581,47,47.05
1994-10-17,728584,47,46.95
1994-10-18,728585,46.91,46.84
1994-10-19,728586,46.67,47.06
1994-10-20,728587,47.06,46.75
1994-10-21,728588,46.62,46.56
1994-10-24,728591,46.58,46.17
1994-10-25,728592,46.02,46.22
1994-10-26,728593,46.39,46.39
1994-10-27,728594,46.56,46.67
1994-10-28,728595,46.77,47.66
1994-10-31,728598,47.55,47.48
1994-11-01,728599,47.28,46.95
1994-11-02,728600,46.81,46.69
1994-11-03,728601,46.84,46.94
1994-11-04,728602,47.16,46.33
1994-11-07,728605,46.44,46.47
1994-11-08,728606,46.62,46.83
1994-11-09,728607,47.33,46.91
1994-11-10,728608,46.94,46.58
1994-11-11,728609,46.52,46.41
1994-11-14,728612,46.61,46.84
1994-11-15,728613,46.8,46.69
1994-11-16,728614,46.77,46.84
1994-11-17,728615,46.88,46.53
1994-11-18,728616,46.55,46.47
1994-11-21,728619,46.44,46
1994-11-22,728620,45.83,45
1994-11-23,728621,45.03,45.25
1994-11-25,728623,45.28,45.47
1994-11-28,728626,45.45,45.67
1994-11-29,728627,45.66,45.66
1994-11-30,728628,45.89,45.59
1994-12-01,728629,45.64,45.14
1994-12-02,728630,45.05,45.56
1994-12-05,728633,45.66,45.61
1994-12-06,728634,45.44,45.64
1994-12-07,728635,45.36,45.31
1994-12-08,728636,45.5,44.88
1994-12-09,728637,44.88,45.05
1994-12-12,728640,44.95,45.34
1994-12-13,728641,45.31,45.52
1994-12-14,728642,45.45,45.75
1994-12-15,728643,45.81,45.89
1994-12-16,728644,45.67,45.75
1994-12-19,728647,45.75,45.81
1994-12-20,728648,45.86,45.67
1994-12-21,728649,45.7,46.16
1994-12-22,728650,46.16,46.02
1994-12-23,728651,45.98,46.06
1994-12-27,728655,46.22,46.31
1994-12-28,728656,46.36,46.08
1994-12-29,728657,46.25,46.11
1994-12-30,728658,46.2,45.56
1995-01-03,728662,45.7,45.78
1995-01-04,728663,45.98,46
1995-01-05,728664,46.03,46
1995-01-06,728665,46.09,46.05
1995-01-09,728668,46.03,46.09
1995-01-10,728669,46.2,46.14
1995-01-11,728670,46.3,46.17
1995-01-12,728671,46.12,46.19
1995-01-13,728672,46.44,46.73
1995-01-16,728675,46.72,47.02
1995-01-17,728676,46.92,47.03
1995-01-18,728677,47,46.98
1995-01-19,728678,46.83,46.72
1995-01-20,728679,46.66,46.55
1995-01-23,728682,46.23,46.69
1995-01-24,728683,46.67,46.75
1995-01-25,728684,46.52,46.88
1995-01-26,728685,46.84,46.92
1995-01-27,728686,47.23,47.11
1995-01-30,728689,47.02,46.91
1995-01-31,728690,47,47.09
1995-02-01,728691,47.16,47.08
1995-02-02,728692,47.06,47.36
1995-02-03,728693,47.66,48.03
1995-02-06,728696,48.02,48.23
1995-02-07,728697,48.31,48.3
1995-02-08,728698,48.23,48.3
1995-02-09,728699,48.22,48.3
1995-02-10,728700,48.23,48.36
1995-02-13,728703,48.33,48.38
1995-02-14,728704,48.53,48.44
1995-02-15,728705,48.44,48.7
1995-02-16,728706,48.64,48.64
1995-02-17,728707,48.59,48.45
1995-02-21,728711,48.45,48.44
1995-02-22,728712,48.48,48.8
1995-02-23,728713,48.98,48.88
1995-02-24,728714,48.94,49
1995-02-27,728717,48.86,48.61
1995-02-28,728718,48.56,49.02
1995-03-01,728719,48.97,48.7
1995-03-02,728720,48.69,48.77
1995-03-03,728721,48.61,48.78
1995-03-06,728724,48.45,48.81
1995-03-07,728725,48.64,48.44
1995-03-08,728726,48.52,48.56
1995-03-09,728727,48.55,48.55
1995-03-10,728728,48.59,49.27
1995-03-13,728731,49.23,49.22
1995-03-14,728732,49.36,49.58
1995-03-15,728733,49.5,49.48
1995-03-16,728734,49.44,49.78
1995-03-17,728735,49.44,49.56
1995-03-20,728738,49.62,49.56
1995-03-21,728739,49.56,49.44
1995-03-22,728740,49.53,49.48
1995-03-23,728741,49.42,49.52
1995-03-24,728742,49.67,50.22
1995-03-27,728745,50.3,50.42
1995-03-28,728746,50.3,50.42
1995-03-29,728747,50.38,50.41
1995-03-30,728748,50.52,50.31
1995-03-31,728749,49.92,50.11
1995-04-03,728752,50.09,50.23
1995-04-04,728753,50.25,50.56
1995-04-05,728754,50.45,50.56
1995-04-06,728755,50.69,50.75
1995-04-07,728756,50.86,50.7
1995-04-10,728759,50.62,50.8
1995-04-11,728760,50.92,50.62
1995-04-12,728761,50.7,50.8
1995-04-13,728762,50.89,51.08
1995-04-17,728766,51.27,50.78
1995-04-18,728767,50.83,50.61
1995-04-19,728768,50.61,50.56
1995-04-20,728769,50.7,50.64
1995-04-21,728770,50.66,50.89
1995-04-24,728773,50.86,51.48
1995-04-25,728774,51.41,51.34
1995-04-26,728775,51.25,51.39
1995-04-27,728776,51.31,51.52
1995-04-28,728777,51.5,51.59
1995-05-01,728780,51.55,51.45
1995-05-02,728781,51.5,51.56
1995-05-03,728782,51.73,52.28
1995-05-04,728783,52.34,52.25
1995-05-05,728784,52.47,52.19
1995-05-08,728787,52.14,52.56
1995-05-09,728788,52.78,52.52
1995-05-10,728789,52.66,52.58
1995-05-11,728790,52.66,52.72
1995-05-12,728791,52.52,52.75
1995-05-15,728794,52.89,53
1995-05-16,728795,52.98,53.03
1995-05-17,728796,53.03,52.83
1995-05-18,728797,52.73,52.06
1995-05-19,728798,51.98,52.09
1995-05-22,728801,52.27,52.67
1995-05-23,728802,52.77,53.16
1995-05-24,728803,53.25,53.12
1995-05-25,728804,52.97,53.17
1995-05-26,728805,52.97,52.56
1995-05-30,728809,52.69,52.55
1995-05-31,728810,52.45,53.64
1995-06-01,728811,53.41,53.5
1995-06-02,728812,53.28,53.55
1995-06-05,728815,53.55,53.88
1995-06-06,728816,53.83,53.78
1995-06-07,728817,53.67,53.5
1995-06-08,728818,53.48,53.38
1995-06-09,728819,53.27,53.06
1995-06-12,728822,53.23,53.36
1995-06-13,728823,53.61,53.94
1995-06-14,728824,53.86,53.89
1995-06-15,728825,53.97,54.12
1995-06-16,728826,53.7,53.97
1995-06-19,728829,54.12,54.58
1995-06-20,728830,54.42,54.44
1995-06-21,728831,54.61,54.41
1995-06-22,728832,54.64,55.12
1995-06-23,728833,55,55.02
1995-06-26,728836,54.86,54.36
1995-06-27,728837,54.34,54.25
1995-06-28,728838,54.25,54.53
1995-06-29,728839,54.53,54.44
1995-06-30,728840,54.55,54.41
1995-07-03,728843,54.47,54.61
1995-07-05,728845,54.77,54.81
1995-07-06,728846,54.83,55.52
1995-07-07,728847,55.41,55.77
1995-07-10,728850,55.81,55.8
1995-07-11,728851,55.75,55.53
1995-07-12,728852,55.64,56.22
1995-07-13,728853,56.14,56.09
1995-07-14,728854,55.8,56.05
1995-07-17,728857,56.12,56.36
1995-07-18,728858,56.27,55.88
1995-07-19,728859,55.66,55.27
1995-07-20,728860,55.33,55.47
1995-07-21,728861,55.42,55.41
1995-07-24,728864,55.48,55.81
1995-07-25,728865,55.88,56.23
1995-07-26,728866,56.2,56.19
1995-07-27,728867,56.45,56.66
1995-07-28,728868,56.7,56.3
1995-07-31,728871,56.34,56.16
1995-08-01,728872,56.23,56.06
1995-08-02,728873,56.39,55.94
1995-08-03,728874,55.55,55.92
1995-08-04,728875,56.03,55.98
1995-08-07,728878,56.11,56.11
1995-08-08,728879,56.14,56.11
1995-08-09,728880,56.3,56.09
1995-08-10,728881,56.16,55.97
1995-08-11,728882,55.92,55.66
1995-08-14,728885,55.8,56.16
1995-08-15,728886,56.14,56.05
1995-08-16,728887,56,56.2
1995-08-17,728888,56.23,56.11
1995-08-18,728889,56.39,56.17
1995-08-21,728892,56.41,56.02
1995-08-22,728893,56.09,56.12
1995-08-23,728894,56.17,55.92
1995-08-24,728895,55.94,55.98
1995-08-25,728896,56.08,56.3
1995-08-28,728899,56.45,56.09
1995-08-29,728900,56.16,56.23
1995-08-30,728901,56.28,56.36
1995-08-31,728902,56.34,56.41
1995-09-01,728903,56.39,56.66
1995-09-05,728907,56.83,57.19
1995-09-06,728908,57.23,57.3
1995-09-07,728909,57.36,57.33
1995-09-08,728910,57.55,57.55
1995-09-11,728913,57.64,57.7
1995-09-12,728914,57.72,57.97
1995-09-13,728915,57.91,58.23
1995-09-14,728916,58.44,58.77
1995-09-15,728917,58.41,58.44
1995-09-18,728920,58.23,58.22
1995-09-19,728921,58.33,58.5
1995-09-20,728922,58.59,58.78
1995-09-21,728923,58.7,58.3
1995-09-22,728924,57.83,58.31
1995-09-25,728927,58.38,58.22
1995-09-26,728928,58.39,58.2
1995-09-27,728929,57.95,58.16
1995-09-28,728930,58.2,58.59
1995-09-29,728931,58.55,58.48
1995-10-02,728934,58.48,58.19
1995-10-03,728935,58.19,58.25
1995-10-04,728936,58.28,58.19
1995-10-05,728937,58.25,58.36
1995-10-06,728938,58.39,58.41
1995-10-09,728941,58.19,57.92
1995-10-10,728942,57.33,57.89
1995-10-11,728943,58.09,58.08
1995-10-12,728944,58.12,58.44
1995-10-13,728945,58.7,58.62
1995-10-16,728948,58.45,58.34
1995-10-17,728949,58.41,58.73
1995-10-18,728950,59.02,58.91
1995-10-19,728951,58.88,59.19
1995-10-20,728952,59.14,58.83
1995-10-23,728955,58.55,58.7
1995-10-24,728956,58.78,58.77
1995-10-25,728957,58.81,58.28
1995-10-26,728958,58.38,57.75
1995-10-27,728959,57.69,58.19
1995-10-30,728962,58.33,58.56
1995-10-31,728963,58.72,58.31
1995-11-01,728964,58.28,58.78
1995-11-02,728965,58.69,59.16
1995-11-03,728966,59.23,59.23
1995-11-06,728969,59.22,59.03
1995-11-07,728970,59,58.81
1995-11-08,728971,58.89,59.34
1995-11-09,728972,59.58,59.56
1995-11-10,728973,59.23,59.53
1995-11-13,728976,59.42,59.47
1995-11-14,728977,59.36,59.08
1995-11-15,728978,59.14,59.67
1995-11-16,728979,59.67,60
1995-11-17,728980,60.09,60.19
1995-11-20,728983,60.28,59.88
1995-11-21,728984,59.94,60.36
1995-11-22,728985,60.31,60.17
1995-11-24,728987,60.23,60.33
1995-11-27,728990,60.45,60.34
1995-11-28,728991,60.3,60.98
1995-11-29,728992,61.09,61.05
1995-11-30,728993,61.05,60.91
1995-12-01,728994,60.98,60.98
1995-12-04,728997,61.12,61.73
1995-12-05,728998,61.67,62.14
1995-12-06,728999,62.3,62.28
1995-12-07,729000,62.2,61.95
1995-12-08,729001,62.22,62.16
1995-12-11,729004,62.28,62.42
1995-12-12,729005,62.14,62.23
1995-12-13,729006,62.31,62.62
1995-12-14,729007,62.69,62.17
1995-12-15,729008,61.88,61.81
1995-12-18,729011,61.27,60.62
1995-12-19,729012,60.66,61.27
1995-12-20,729013,61.45,60.67
1995-12-21,729014,61.03,60.98
1995-12-22,729015,61.31,61.2
1995-12-26,729019,61.45,61.5
1995-12-27,729020,61.66,61.47
1995-12-28,729021,61.34,61.41
1995-12-29,729022,61.47,61.48
1996-01-02,729026,61.41,62.14
1996-01-03,729027,62.34,62.31
1996-01-04,729028,62.39,61.72
1996-01-05,729029,61.31,61.59
1996-01-08,729032,61.81,61.83
1996-01-09,729033,62.02,60.77
1996-01-10,729034,60.69,59.97
1996-01-11,729035,60.06,60.33
1996-01-12,729036,60.48,60.23
1996-01-15,729039,60.25,60.11
1996-01-16,729040,60.41,60.84
1996-01-17,729041,60.7,60.66
1996-01-18,729042,60.89,60.86
1996-01-19,729043,60.86,61.27
1996-01-22,729046,61.22,61.28
1996-01-23,729047,61.25,61.42
1996-01-24,729048,61.52,61.92
1996-01-25,729049,61.97,61.7
1996-01-26,729050,61.66,62.23
1996-01-29,729053,62.19,62.48
1996-01-30,729054,62.61,63.02
1996-01-31,729055,63,63.67
1996-02-01,729056,63.61,63.91
1996-02-02,729057,63.88,63.64
1996-02-05,729060,63.53,64.16
1996-02-06,729061,64.19,64.77
1996-02-07,729062,64.75,65.14
1996-02-08,729063,65.05,65.84
1996-02-09,729064,65.81,65.83
1996-02-12,729067,65.95,66.33
1996-02-13,729068,66.05,66.19
1996-02-14,729069,66.14,65.61
1996-02-15,729070,65.47,65.2
1996-02-16,729071,65.08,64.94
1996-02-20,729075,64.44,64.3
1996-02-21,729076,64.42,65.09
1996-02-22,729077,65.45,66.12
1996-02-23,729078,66.5,65.94
1996-02-26,729081,65.75,65
1996-02-27,729082,65.16,64.8
1996-02-28,729083,65.31,64.5
1996-02-29,729084,64.12,63.88
