ydate,cp,upprob,pctg,ydatestr
735339,155.12,0.668183246311387,0.75425477050025,2013-04-15
735340,157.41,0.589248259049594,-0.711517692649771,2013-04-16
735341,155.11,0.679514129647533,0.167622977241951,2013-04-17
735342,154.14,0.623204431266491,0.233553912028035,2013-04-18
735343,155.48,0.612196181112552,0.19295086184719,2013-04-19
735346,156.17,0.581283266852442,0.499455721329321,2013-04-22
735347,157.78,0.536597358086531,0.0316896945113521,2013-04-23
735348,157.88,0.573493682071736,0.291360526982523,2013-04-24
735349,158.52,0.562492815218397,-0.119858692909411,2013-04-25
735350,158.24,0.602003838411321,0.271739130434769,2013-04-26
735353,159.3,0.557554111481345,-0.0188323917137484,2013-04-29
735354,159.68,0.589331043318261,-0.219188376753503,2013-04-30
735355,158.28,0.605609041116407,0.252716704574176,2013-05-01
735356,159.75,0.57284421849139,0.870109546165876,2013-05-02
735357,161.37,0.523249434379545,0.0743632645473164,2013-05-03
735360,161.78,0.557450372778178,0.216343182099143,2013-05-06
735361,162.6,0.562874739723338,-0.110701107011074,2013-05-07
735362,163.34,0.579736076562485,-0.0428553936573976,2013-05-08
735363,162.88,0.592151273333984,0.0675343811394976,2013-05-09
735364,163.41,0.59290458995366,-0.128511107031398,2013-05-10
735367,163.54,0.602245352129171,0.0794912559618414,2013-05-13
735368,165.23,0.572517953721715,-0.163408581976628,2013-05-14
735369,166.12,0.567593527273051,-0.204671321935952,2013-05-15
735370,165.34,0.584568795336159,0.36893673642191,2013-05-16
735371,166.94,0.556144831230457,-0.0958428177788407,2013-05-17
735374,166.93,0.589934459111782,0.0898580243215753,2013-05-20
735375,167.17,0.580497945134417,0.10169288747982,2013-05-21
735376,165.93,0.613305492338985,-1.06671487976858,2013-05-22
735377,165.45,0.672833548771661,-0.592323964944086,2013-05-23
735378,165.31,0.658114018093915,1.04651866190792,2013-05-24
735382,166.3,0.552113820616639,-0.529164161154554,2013-05-28
735383,165.22,0.648218050609299,0.0786829681636578,2013-05-29
735384,165.83,0.60367257079441,-0.277392510402224,2013-05-30
735385,163.45,0.650736878660054,0.232486999082303,2013-05-31
735388,164.35,0.614976179542612,0.0547611804076686,2013-06-03
735389,163.56,0.638878180188872,-0.28735632183908,2013-06-04
735390,161.27,0.662799030406487,-0.0434054690891186,2013-06-05
735391,162.73,0.64677015223966,0.68825662139741,2013-06-06
735392,164.8,0.565714955777935,0.30946601941747,2013-06-07
735395,164.8,0.566985955247386,-0.910194174757281,2013-06-10
735396,163.1,0.65069620188982,0.68669527896996,2013-06-11
735397,161.75,0.599589907666096,-0.0556414219474519,2013-06-12
735398,164.21,0.609561702640549,-0.109615735947876,2013-06-13
735399,163.18,0.598642182839591,0.680230420394647,2013-06-14
735402,164.44,0.544056904261724,0.0547312089515954,2013-06-17
735403,165.74,0.571848455271588,-0.0844696512610201,2013-06-18
735404,163.45,0.586788668933818,-0.972774548791664,2013-06-19
735405,159.4,0.697855478577058,0.150564617314919,2013-06-20
735406,159.07,0.666304948116823,-1.0435657257811,2013-06-21
735409,157.06,0.723815507827299,0.904113077804653,2013-06-24
735410,158.57,0.586815929075176,0.819827205650509,2013-06-25
735411,160.14,0.552917100250073,0.599475458973403,2013-06-26
735412,161.08,0.527546254345507,-0.279364291035521,2013-06-27
735413,160.42,0.591074731018501,0.523625483106847,2013-06-28
735416,161.36,0.554745255343436,-0.148735746157666,2013-07-01
735417,161.21,0.607533072190432,-0.452825507102548,2013-07-02
735418,161.28,0.614223464345859,0.737847222222221,2013-07-03
735420,163.02,0.528623074524332,0.515274199484728,2013-07-05
735423,163.95,0.522825497058094,0.62824031716987,2013-07-08
735424,165.13,0.499366991040643,-0.0968933567492258,2013-07-09
735425,165.19,0.554463763804922,1.16229795992494,2013-07-10
735426,167.44,0.477351412035628,-0.029861442904928,2013-07-11
735427,167.51,0.562628065084426,0.27461047101666,2013-07-12
735430,168.15,0.537314128549934,0.065417781742483,2013-07-15
735431,167.52,0.585610984715379,0.382043935052523,2013-07-16
735432,167.95,0.566187030553553,0.214349508782384,2013-07-17
735433,168.87,0.571944511596243,-0.207260022502513,2013-07-18
735434,169.17,0.581242456468592,0.141869125731518,2013-07-19
735437,169.5,0.565590045050316,0.176991150442485,2013-07-22
735438,169.14,0.572258096900371,0.384297032044464,2013-07-23
735439,168.52,0.577209707200355,-0.178020413007365,2013-07-24
735440,168.93,0.614781022574841,-0.420292428816674,2013-07-25
735441,169.11,0.624535873417864,-0.254272367098342,2013-07-26
735444,168.59,0.612119757186622,0.302509045613613,2013-07-29
735445,168.59,0.586617801537681,0.207604246989735,2013-07-30
735446,168.71,0.587295434905293,0.758698358129335,2013-07-31
735447,170.66,0.528923631125403,-0.222664947849523,2013-08-01
735448,170.95,0.583112796247307,-0.222287218484934,2013-08-02
735451,170.7,0.593840061657009,-0.193321616871695,2013-08-05
735452,169.73,0.617535176892703,-0.318152359629996,2013-08-06
735453,169.18,0.625365967743427,0.472869133467303,2013-08-07
